1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Argentina,17.404,16.462,18.891,18.55,20.546,20.55,20.901,21.726,14.998,12.948,17.799,16.154,19.287,23.73,27.201,26.675,23.03,28.174,26.646,21.723,29.16,37.298,36.401,34.548,31.33547,34.97228,38.95529,31.67011,31.54644,NA
Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bahamas, The,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.068,0.065,0.075,0.093,0.09137,0.08824,0.06115,0.06321,0.06858,0.17773,0.1774,0.20445,NA
Bolivia,1.115,1.166,1.215,1.198,1.215,1.183,1.165,1.164,1.296,1.285,1.274,1.437,1.409,1.437,1.4,1.337,1.513,1.633,1.552,1.835,2.013,2.218,2.277,2.089,2.246,2.1264,2.29968,2.45291,2.4347,NA
Brazil,130.3588,131.4337,142.0099,153.061,167.9659,179.6363,183.9005,187.3778,200.5286,205.9651,208.2045,219.4125,225.6196,237.0745,245.3985,256.6043,269.3925,282.9557,295.58931,297.8905,308.5819,272.9972,293.1405,314.2061,330.0046,348.3269,360.1406,387.7673,385.2266,409.80576
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,7.443,7.693,8.589,9.131,9.523,10.543,11.572,12.283,11.665,9.812,12.175,13.348,17.19,17.77,17.532,20.5004,19.7808,19.6175,16.6263,14.4984,20.4944,23.4548,23.0868,23.7425,23.2844,27.5971,29.8561,25.1257,26.608,NA
Colombia,14.533,14.549,18.32,18.303,20.508,21.805,25.411,21.581,24.82,26.902,27.474,27.422,22.499,27.996,32.269,32.224,35.631,31.87,31.034,33.893,32.276,32.003,34.145,36.332,40.218,39.9793,40.5148,42.0107,43.6968,NA
Costa Rica,2.098,2.261,2.362,2.805,2.979,2.749,2.866,2.974,3.02,3.287,3.348,3.629,3.552,3.92,4.232,3.979,4.284,5.364,4.868,5.948,6.726,6.7187,7.228,7.227,7.876,7.8462,8.0209,8.182,8.6535,NA
Cuba,0.973,0.955,1.003,1.059,1.103,1.092,1.147,1.151,1.282,1.259,1.205,1.065,1.097,0.756,0.73,0.597,0.794,0.85,0.825,0.781,0.789,0.806,0.851,0.887,0.69572,0.627,0.5245,0.43719,0.5074,NA
Dominica,0.009,0.01,0.009,0.015,0.016,0.014,0.013,0.014,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.019,0.019,0.02,0.027,0.032,0.032,0.027,0.03,0.029,0.034,0.028,0.03,0.03,0.032,NA
Dominican Republic,0.646,0.883,0.831,0.863,0.639,1.074,0.94,0.99,0.87,0.623,0.416,0.577,0.554,1.151,0.571,0.637,0.892,0.704,0.756,1.123,0.79,0.587,0.906,1.231,1.633,1.9045,1.7695,1.7691,1.7385,NA
Ecuador,0.878,0.783,0.89,1.712,3.163,3.761,4.27,4.486,4.741,4.867,4.937,5.025,4.924,5.752,6.499,5.109,6.281,6.469,6.441,7.105,7.533,7,7.45,7.10862,7.33758,6.852,7.5739,9.669,11.5811,NA
El Salvador,1.418,1.324,1.372,1.446,1.567,1.616,1.629,1.578,1.74,1.879,1.845,1.257,1.373,1.532,1.581,1.883,2.292,1.8977,2.001,2.34,1.93,2.08899,2.093,2.4487,2.35845,2.67645,3.0573,3.1223,3.5608,NA
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.567,0.394,0.54,0.855,0.657,0.729,1.758,1.748,1.906,2.156,2.457,2.509,2.214,2.331,2.47,2.174,2.582,2.964,2.237,2.868,3.068,2.711,2.487,3.285,3.28,4.0792,4.7488,4.8943,5.1494,NA
Guyana,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0,0,0,0,0,0,0,0,0,NA
Haiti,0.229,0.234,0.258,0.268,0.278,0.307,0.334,0.332,0.332,0.332,0.368,0.345,0.318,0.271,0.231,0.25,0.269,0.198,0.303,0.265,0.28,0.28,0.257,0.252,0.257,0.262,0.268,0.152,0.179,NA
Honduras,0.772,0.821,0.846,0.831,0.865,0.866,1.272,1.131,1.739,1.825,2.066,2.098,2.17,2.241,1.8,1.656,2.019,2.064,1.904,2.11,2.238,1.894,1.609,1.758,1.4392,1.8378,2.1839,2.3516,2.4551,NA
Jamaica,0.172,0.171,0.187,0.204,0.134,0.124,0.163,0.186,0.184,0.214,0.202,0.164,0.195,0.209,0.234,0.212,0.222,0.233,0.21,0.212,0.211,0.157,0.19,0.243,0.273,0.2965,0.3169,0.309,0.3042,NA
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0.54,0.523,0.455,0.35,0.533,0.587,0.546,0.661,0.594,0.943,0.816,0.822,0.734,0.888,0.742,0.742,0.719,0.631,0.464,0.538,0.402,0.436,0.548,0.649,0.677,0.83892,0.72986,0.89342,1.15647,NA
Panama,0.995,1.464,1.224,0.998,1.62,2.006,2.179,2.107,2.305,2.226,2.238,2.084,1.912,2.295,2.393,2.408,2.99,2.894,2.141,3.122,3.407,2.496,3.384,2.815,3.764,3.7088,3.563,3.648,3.9511,NA
Paraguay,0.717,0.754,0.675,0.791,0.903,4.065,11.908,18.499,19.899,24.229,27.204,29.368,27.157,31.127,36.048,41.702,44.858,50.343,50.362,51.444,52.957,44.864,47.73,51.253,51.412,50.654,53.246,53.188,54.909,NA
Peru,7.115,8.092,8.586,8.29,8.747,9.594,10.248,10.978,10.487,10.452,10.497,11.499,9.812,11.781,12.741,12.834,13.321,13.217,13.786,14.522,16.157,17.593,18.044,18.544,17.503,18.2419,19.8633,19.7825,19.3232,NA
Puerto Rico,0.204,0.124,0.104,0.11,0.135,0.183,0.223,0.257,0.272,0.272,0.13671,0.11906,0.13512,0.12033,0.06744,0.08692,0.13503,0.10193,0.10323,0.15871,0.152,0.133,0.114,0.103,0.141,0.13828,0.142,0.164,0.156,NA
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0.017,0.017,0.018,0.018,0.022,0.026,0.028,0.031,0.035,0.036,0.024,0.013,0.02,0.023,0.021,0.021,0.021,0.021,0.022,0.022,0.025,0.019,0.022,0.021,0.027,0.026,0.02296,0.02249,0.02344,NA
Suriname,0.883,0.825,1.051,0.714,0.846,0.962,0.756,0.323,0.485,1.087,1.171,1.393,1.437,1.45,1.463,1.279,1.281,1.289,1.294,1.311,0.71,0.725,0.741,0.752,0.764,0.821,0.862,0.862,0.875,NA
Trinidad and Tobago,0.025,0.018,0.017,0.015,0.012,0.016,0.025,0.029,0.026,0.025,0.029,0.024,0.029,0.027,0.03,0.031,0.016,0.017,0.017,0.017,0.019,0.028,0.025,0.011,0.0218,0.0209,0.0247,0.0076,0.0095,NA
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,2.259,2.532,2.456,7.134,7.059,6.428,7.27,7.239,5.413,3.909,6.988,6.097,7.899,7.279,7.443,5.831,5.743,6.444,9.096,5.482,7.01,9.136,9.476,8.479,4.7672,6.6522,3.6047,8.1153,5.2466,NA
Venezuela,14.438,14.933,15.834,18.308,19.46,21.825,24.907,30.535,33.861,34.319,36.613,44.088,46.789,46.994,50.761,50.926,53.306,56.695,57.376,59.949,62.198,59.845,58.94,60.025,69.228,74.275,81.292,83.032,86.705,85.839
Virgin Islands,  U.S.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands, British,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,471.833,477.757,473.385,486.588,495.115,491.059,474.995,508.633,552.431,484.1149,494.2273,496.73225,534.489,554.4991,563.0852,579.26735,567.8856,590.00747,616.96055,628.56355,660.59196,668.24565,640.51118,619.50403,680.70835,700.4681,715.39214,755.10473,805.64993,890.993,991.09
Albania,2.919,3.018,3.093,3.167,3.241,3.315,3.365,3.979,3.713,3.846,2.82,3.483,3.187,3.281,3.733,4.162,5.669,4.978,4.872,5.231,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,NA
Austria,28.809,30.323,30.398,30.104,29.145,31.17,31.42,26.257,36.146,35.691,32.291,32.304,35.787,37.67,36.534,38.508,35.593,37.503,38.656,41.9739,43.1748,41.7627,41.51835,34.83585,39.171,40.1768,39.4507,42.7716,44.2749,46.5158
Belgium,0.559,0.653,0.574,0.539,0.567,0.58,0.792,0.936,0.926,0.916,0.958,1.001,1.172,1.09,1.18955,1.334,1.242,1.16355,1.34911,1.491,1.739,1.976,1.989,1.8706,2.3,2.6691,3.6543,4.316,5.2263,5.9929
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,3.374,2.343,3.424,3.607,5.104,4.608,4.511,5.477,5.043,5.129,5.215,4.456,5.919,5.938,5.798,3.961,4.506,NA
Bulgaria,3.674,3.58,3.018,3.318,3.226,2.214,2.302,2.512,2.569,2.662,1.859,2.417,2.042,1.923,1.453,2.291,2.89,2.726,3.068,2.753,2.66,1.73,2.182,3.005,3.155,4.3148,4.2216,2.8954,2.9271,NA
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,4.304,4.32,4.887,5.217,7.166,5.236,5.408,6.526,5.795,6.483,5.311,4.827,6.894,6.2925,5.9685,4.2349,5.2219,NA
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.0029,0.0132,NA
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,1.62785,1.83385,2.38485,2.318,2.18401,1.95,2.454,2.4274,2.71,3.1239,1.8448,2.6925,3.077,3.4533,3.3306,3.6353,4.4753
Denmark,0.03,0.031,0.028,0.06,0.067,0.087,0.165,0.212,0.334,0.471,0.827,1.066,1.39225,1.7013,1.878,2.034,2.331,3.184,4.13873,4.657,5.859,6.133,7.055,8.328,9.677,10.1877,9.5249,10.5151,10.3334,10.1592
Faroe Islands,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073,0.076,0.076,0.07056,0.07607,0.0765,0.06945,0.07526,0.0752,0.09554,0.08483,0.09345,0.098,0.09994,0.10343,0.09493,NA
Finland,10.115,13.518,12.958,13.445,13.115,12.211,12.266,13.658,13.229,12.9,10.75,13.066,19.66,19.0058,17.81865,19.08545,17.58945,19.90873,24.13,20.96055,23.026,21.395,20.355,19.24835,25.133,22.9911,22.0664,24.4511,27.4149,21.442
Former Czechoslovakia,4.8,4.2,3.7,3.9,3.2,4.3,4,4.853,4.355,4.229,3.919,3.119,3.602,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,11.23,10.395,11.016,12.071,14.266,12.636,12.763,13.243,11.88,12.326,11.633,9.752,11.01,11.912,--,--,--,--
Former Yugoslavia,27.868,25.044,23.295,21.623,25.645,24.363,27.474,25.98,25.612,23.256,19.601,18.929,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,69.395,71.612,70.267,68.798,65.492,61.597,62.376,70.065,75.36,47.805,54.913,58.58195,70.65495,66.509,80.453,74.853,67.237,66.2852,64.6279,75.423,70.4709,78.6352,65.115,64.0883,65.1206,57.4268,62.8931,67.1854,74.6173,70.0275
Germany,--,--,--,--,--,--,--,--,--,--,--,20.3925,23.4029,24.22975,27.95765,30.506,31.30345,27.93843,30.689,32.5696,40.071,44.354,50.436,51.272,60.8603,62.23,71.2838,88.963,91.2524,97.3986
Germany, East,1.658,1.718,1.748,1.683,1.748,1.758,1.767,1.726,1.719,1.551,1.389,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany, West,22.29,22.629,22.419,20.759,20.75,19.673,20.717,22.158,22.433,21.079,20.552,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,3.396,3.398,3.551,2.331,2.852,2.792,3.222,2.77,2.359,1.888,1.752,3.068,2.3176,2.39065,2.67915,3.6253,4.4501,3.98438,3.8985,4.886,4.239,2.967,3.612,5.92195,5.941,6.381,7.5531,4.4916,5.6131,6.7844
Hungary,0.111,0.166,0.158,0.153,0.179,0.153,0.152,0.167,0.167,0.156,0.208,0.238,0.242,0.237,0.245,0.258,0.291,0.30284,0.25845,0.292,0.29,0.304,0.262,0.3568,0.922,1.853,1.5511,1.9361,2.3562,2.8643
Iceland,3.103,3.217,3.575,3.77,3.921,3.848,4.058,4.152,4.414,4.474,4.447,4.43085,4.4855,4.664,4.717,4.9105,5.0527,5.51118,6.18725,7.0662,7.54885,7.89,8.268,8.353,8.47385,8.5281,9.7214,11.712,16.1401,16.4823
Ireland,0.833,0.855,0.792,0.776,0.68,0.824,0.91,0.673,0.862,0.684,0.69,0.738,0.81375,0.78425,0.94205,0.7362,0.7543,0.79572,1.14855,1.102,1.16,0.999,1.35,1.1053,1.34985,1.8049,2.3805,2.6455,3.4015,3.8722
Italy,48.79,46.109,44.587,44.193,45.227,43.668,44.142,42.765,43.998,36.8079,34.5586,45.0285,45.54695,45.0418,48.0328,41.40875,46.13735,46.45682,46.9063,51.849,51.34375,54.99965,48.975,44.89705,55.1197,49.9242,52.1125,49.2231,59.3982,66.9909
Luxembourg,0.115,0.128,0.117,0.115,0.123,0.104,0.116,0.143,0.141,0.108,0.102,0.119,0.099,0.104,0.156,0.137,0.099,0.12885,0.167,0.149,0.198,0.21395,0.19495,0.164,0.22325,0.2354,0.2705,0.2855,0.3115,0.2899
Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,0.817,0.517,0.696,0.793,0.842,0.891,1.072,1.375,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,NA
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.745,1.64,1.53,NA
Netherlands,0.973,1.031,0.252,0.219,0.016,0.422,0.529,0.67,0.811,0.915,1.168,1.266,1.38595,1.54395,1.72595,2.13115,2.80015,3.10433,3.506,3.735,4.253,4.546,5.184,5.294,6.535,8.5287,9.1807,8.8594,10.6355,11.917
Norway,82.717,91.876,91.507,104.704,104.895,101.473,95.37,102.381,107.97,117.423,120.225,109.297,115.78385,118.34085,110.74155,120.4795,102.92364,109.236,114.58345,120.604,137.8455,117.521,128.52525,105.204,108.477,135.1991,119.2314,133.6461,139.4993,126.1753
Poland,2.715,2.487,1.904,2.108,1.864,2.342,2.033,1.952,2.054,1.815,1.647,1.826,1.893,1.82,2.052,2.21195,2.294,2.5109,2.8528,2.6148,2.614,3.043,3.16,2.476,3.3169,4.1152,4.5376,5.5694,6.4734,8.3994
Portugal,8.177,5.229,7.155,8.282,9.964,11.033,8.94,9.588,12.657,6.349,9.7257,9.72665,5.4465,9.3242,11.48645,9.25505,15.5929,14.04445,13.96495,8.5828,12.92195,15.75795,9.806,17.712,12.3473,8.3263,15.6667,16.0823,14.4535,17.9285
Romania,12.506,12.605,11.731,9.934,11.208,11.774,10.689,11.086,13.481,12.499,10.872,14.107,11.637,12.706,12.916,16.529,15.597,17.344,18.7,18.107,14.63,14.774,15.889,13.129,16.352,20.012,18.1758,15.8421,17.0505,NA
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.855,9.937,9.468,NA
Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,3.432,4.311,4.831,4.185,4.053,4.235,4.458,4.599,5.049,5.384,3.5731,4.117,4.6699,4.81,4.9351,4.5519,4.93
Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,3.379,2.974,3.348,3.187,3.616,3.046,3.4,3.713,3.838,3.809,3.362,3.038,4.153,3.521,3.6472,3.3271,4.2374,NA
Spain,29.504,22.043,26.453,27.228,31.611,31.475,26.616,27.551,35.399,19.666,25.838,27.6899,19.4664,24.9318,28.85875,24.40975,41.2012,37.13125,37.02125,27.5958,35.7771,48.9268,34.3204,55.49115,49.725,41.3081,51.395,57.3943,60.4336,70.8972
Sweden,58.873,59.912,55.358,64.207,68.906,71.849,62.072,72.878,71.023,73.112,73.577,64.343,75.566,76.076,60.734,69.81905,53.4424,71.255,77.447,74.053,82.359,82.5489,70.4925,58.2459,67.9309,80.9052,70.9327,76.9815,80.9418,78.1595
Switzerland,32.645,35.544,36.345,35.445,30.222,32.078,33.011,34.813,35.924,29.98,30.028,32.28595,32.9579,35.9648,39.64175,35.8247,29.5776,34.78507,34.2646,41.05155,37.9973,42.3364,36.3303,36.297,35.3247,32.9328,32.8986,37.1323,38.0045,37.6796
Turkey,11.288,12.413,13.81,11.13,13.209,11.826,11.674,18.364,28.509,17.666,22.993,22.56895,26.4135,33.7381,30.40305,35.4787,40.3168,39.77569,42.13321,34.62095,30.8822,24.085,33.657,35.23,45.86535,39.3929,44.1886,36.3697,34.7542,38.5828
United Kingdom,3.921,4.369,4.543,4.548,3.993,4.081,4.768,6.295,6.204,6.095,6.443,5.566,6.347,5.74,7.145,7.11245,5.933,7.224,8.975,9.87995,10.16795,11.6269,13.484,12.92605,15.6307,18.7195,19.5382,20.6042,22.2871,25.3158
Eurasia,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,221.024,230.697,232.679,231.881,241.859,247.097,237.091,213.947,215.499,223.17,226.483,228.4701,238.1606,226.90995,224.6966,249.2869,248.33679,248.56,247.48948,237.47523,NA
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,3.013,4.249,3.479,1.9,1.556,1.376,1.522,1.188,1.248,0.958,1.641,1.962,1.978,1.755,1.807,1.83678,1.78093,NA
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,1.73,2.376,1.811,1.54,1.523,1.695,1.931,1.491,1.519,1.288,2,2.444,2.727,2.979,2.493,2.34,2.21,2.285
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0.017,0.019,0.019,0.02,0.016,0.021,0.122,0.117,0.027,0.03,0.028,0.028,0.034,0.0645,0.1243,0.1196,0.117,NA
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.001,0.003,0.008,0.007,0.011,0.016,0.016,0.018,0.018,0.029,0.048,0.059,0.1063,0.1242,0.1387,0.1885,NA
Former U.S.S.R.,184.025,184.993,175.46,180.186,203.155,205.046,213.477,217.466,228.512,221.024,230.697,232.679,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,6.439,6.536,6.704,5.151,5.94,5.987,6.308,6.378,5.801,5.487,6.699,6.461,5.989,6.174,5.262,6.75,7.09,NA
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,6.797,7.553,9.087,8.248,7.258,6.434,6.08,6.071,7.456,8,8.801,8.539,7.976,7.777,7.69,8.089,7.385,7.496
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,9.195,8.994,11.607,11.007,12.132,10.825,9.844,12.021,13.546,12.306,10.679,13.381,13.953,14.116,14.738,13.809,10.633,NA
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,2.498,2.846,3.272,2.908,1.842,2.923,2.992,2.731,2.795,2.811,2.458,2.312,3.1606,3.3766,2.7546,2.7962,3.1758,NA
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.308,0.389,0.447,0.369,0.323,0.291,0.413,0.409,0.336,0.324,0.354,0.33,0.424,0.45509,0.4291,0.568,0.5879,NA
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,0.255,0.371,0.275,0.321,0.362,0.378,0.083,0.09,0.057,0.072,0.12,0.063,0.058,0.062,0.076,0.033,0.081,NA
Russia,--,--,--,--,--,--,--,--,--,--,--,--,171.912,173.36,174.784,175.186,153.3,156.501,158.384,160.887,164.9041,174.9736,163.40995,156.2386,176.1703,173.8522,174.6665,177.6424,165.9783,165.1168
Tajikistan,--,--,--,--,--,--,--,--,--,--,--,--,15.769,16.947,16.524,14.45,14.677,13.576,14.008,15.273,13.774,14.064,15.012,16.173,16.176,16.797,16.534,16.943,15.688,NA
Turkmenistan,--,--,--,--,--,--,--,--,--,--,--,--,0.004,0.005,0.004,0.004,0.005,0.005,0.006,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,NA
Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,7.725,10.929,11.997,9.853,8.546,9.757,15.761,14.18,11.167,11.927,9.552,9.17,11.659,12.2751,12.7903,10.0848,11.3108,NA
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,6.218,7.284,7.084,6.126,6.46,5.719,5.7,5.626,5.817,5.899,6.124,7.544,8.92,8.544,9.068,6.336,11.246,9.237
Middle East,9.619,10.318,10.556,10.06,10.743,10.762,10.118,10.404,10.508,10.486,9.646,10.458,13.332,13.655,11.305,11.005,11.252,10.943,11.039,8.577,7.947,9.4147,12.7427,15.6327,16.4287,21.0144,23.4002,22.5952,8.964,NA
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,5.561,6.164,6.38,6.138,6.268,6.27,6.136,6.336,6.386,6.633,6.022,6.985,9.435,9.725,7.371,7.202,7.326,6.857,6.961,4.906,3.625,5.026,8.004,10.987,10.528,16.0065,18.2018,17.9429,4.8912,NA
Iraq,0.683,0.683,0.604,0.594,0.604,0.604,0.594,0.604,0.703,0.594,0.604,0.307,0.693,0.594,0.554,0.564,0.564,0.575,0.587,0.599,0.605,0.612,0.512,0.429,0.488,0.459,0.481,0.501,0.555,NA
Israel,0,0,0,0,0,0,0,0.01,0.01,0.003,0.003,0.006,0.029,0.03,0.03,0.025,0.024,0.025,0.025,0.033,0.031,0.02,0.031,0.042,0.038,0.0384,0.0169,0.015,0.2335,NA
Jordan,0,0,0,0,0,0,0.003,0.019,0.027,0.017,0.019,0.008,0.016,0.023,0.015,0.019,0.023,0.02,0.016,0.017,0.042,0.0507,0.0597,0.0497,0.0607,0.0635,0.0585,0.0723,0.0723,NA
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0.841,0.841,0.643,0.554,0.579,0.579,0.554,0.604,0.594,0.495,0.297,0.495,0.545,0.713,0.809,0.71,0.79,0.892,0.777,0.329,0.445,0.33,0.671,1.349,1.109,1.036,0.688,0.579,0.369,NA
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,2.534,2.63,2.929,2.774,3.292,3.309,2.831,2.831,2.788,2.744,2.701,2.657,2.614,2.57,2.526,2.485,2.525,2.574,2.673,2.693,3.199,3.376,3.465,2.776,4.205,3.411,3.954,3.485,2.843,NA
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
